Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
k2686-120-ford-bronco-sport-2021-2023-k5-30,Custom Design K5 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-120</strong></p><ul><li>Pearl wrap</li><li>Black center</li><li>perf combo</li><li>Black wings</li><li>Red contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/XXmj2m8XAqExY3QUpj87,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2686-120,1895.00,,FALSE,TRUE,,K2686-120,,,,,,,FALSE,,,,Custom Design K5 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Pearl wrap
 Black center
 perf combo
 Black wings
 Red contrast all stitch"
k2689-100-ford-bronco-sport-2021-2023-k6-31,Custom Design K6 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2689-100</strong></p><ul><li>Black wrap</li><li>Ash center</li><li>perf combo</li><li>Silver contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/Qp77VAsIpEXtSYT3sgkG,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2689-100,1895.00,,FALSE,TRUE,,K2689-100,,,,,,,FALSE,,,,Custom Design K6 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Ash center
 perf combo
 Silver contrast all stitch"
k2690-100-ford-bronco-sport-2021-2023-k7-32,Custom Design K7 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2690-100</strong></p><ul><li>Black wrap</li><li>Ash faces</li><li>perf combo</li><li>Black wings</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/lTY8bf41k30zxKeFCHBY,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2690-100,1895.00,,FALSE,TRUE,,K2690-100,,,,,,,FALSE,,,,Custom Design K7 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Ash faces
 perf combo
 Black wings
 Black contrast all stitch
 Black piping"
k2691-100-ford-bronco-sport-2021-2023-k8-33,Custom Design K8 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2691-100</strong></p><ul><li>Black wrap</li><li>Lunar Grey faces</li><li>perf combo</li><li>perf wings</li><li>Black contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/OtLSxFIyoXWaSMSzlIQA,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2691-100,1895.00,,FALSE,TRUE,,K2691-100,,,,,,,FALSE,,,,Custom Design K8 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lunar Grey faces
 perf combo
 perf wings
 Black contrast all stitch"
k2690-265-ford-bronco-sport-2021-2023-k9-34,Custom Design K9 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2690-265</strong></p><ul><li>Lunar Grey wrap</li><li>Black center</li><li>perf combo</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/PqZjEHtAm4GZFZiGRiLh,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2690-265,1895.00,,FALSE,TRUE,,K2690-265,,,,,,,FALSE,,,,Custom Design K9 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Lunar Grey wrap
 Black center
 perf combo
 Black contrast all stitch
 Black piping"
k2692-100-ford-bronco-sport-2021-2023-k10-35,Custom Design K10 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2692-100</strong></p><ul><li>Black wrap</li><li>Lt. Grey combo</li><li>perf combo</li><li>Lt. Grey contrast all stitch</li><li>Lt. Grey piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/QqRVcfTFJMPdHZ0AB56W,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2692-100,1895.00,,FALSE,TRUE,,K2692-100,,,,,,,FALSE,,,,Custom Design K10 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lt. Grey combo
 perf combo
 Lt. Grey contrast all stitch
 Lt. Grey piping"
k2693-100-ford-bronco-sport-2021-2023-k11-36,Custom Design K11 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2693-100</strong></p><ul><li>Black wrap</li><li>Lt. Grey faces</li><li>perf combo</li><li>Dark Slate Suedezkin wings</li><li>Red contrast all stitch</li><li>Red piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/yqXddJ6149HSf5Grxdvo,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2693-100,1895.00,,FALSE,TRUE,,K2693-100,,,,,,,FALSE,,,,Custom Design K11 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lt. Grey faces
 perf combo
 Dark Slate Suedezkin wings
 Red contrast all stitch
 Red piping"
k2694-100-ford-bronco-sport-2021-2023-k12-37,Custom Design K12 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2694-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Carbon Crimson Vinyl wings</li><li>Salsa contrast all stitch</li><li>Salsa piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/utRIDiHZPbBVfNI3rAWb,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2694-100,1895.00,,FALSE,TRUE,,K2694-100,,,,,,,FALSE,,,,Custom Design K12 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Carbon Crimson Vinyl wings
 Salsa contrast all stitch
 Salsa piping"
k2695-100-ford-bronco-sport-2021-2023-k13-38,Custom Design K13 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2695-100</strong></p><ul><li>Black wrap</li><li>Red center</li><li>perf combo</li><li>Red wings</li><li>Red contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/Rhb0lJb2ZCCFpZb6gpn0,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2695-100,1895.00,,FALSE,TRUE,,K2695-100,,,,,,,FALSE,,,,Custom Design K13 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Red center
 perf combo
 Red wings
 Red contrast all stitch"
k2690-121-ford-bronco-sport-2021-2023-k14-39,Custom Design K14 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2690-121</strong></p><ul><li>Red wrap</li><li>perf combo</li><li>Barracuda Red wings</li><li>Silver contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/9InctvqwZzHwTUlckoRY,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2690-121,1895.00,,FALSE,TRUE,,K2690-121,,,,,,,FALSE,,,,Custom Design K14 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Red wrap
 perf combo
 Barracuda Red wings
 Silver contrast all stitch"
